filename,native_language,native_language_encoded,age,total_score,question_number,exam_score,answer,mistakes_tag,AG,AGA,AGD,AGN,AGQ,AGV,AS,CD,CE,CL,CN,CQ,DA,DD,DI,DJ,DN,DQ,DT,DV,DY,FA,FD,FJ,FN,FQ,FV,FY,IA,ID,IJ,IN,IQ,IV,IY,L,M,MA,MC,MD,MJ,MN,MP,MQ,MT,MV,MY,R,RA,RC,RD,RJ,RN,RP,RQ,RT,RV,RY,S,SA,SX,TV,U,UA,UC,UD,UJ,UN,UP,UQ,UT,UV,UY,W,X,unknown
0100_2000_6/doc2.xml,Chinese,0,16-20,24.0,1,3.2,"Dear Mr Ryan.
Thanks for you letter. I am so exciting that I have won the first prize. I will give you all information you need and ask some questions.
I could only travel on July. As you know, I am a student and the nearest holiday is summer holiday. But I have booked a flight to home at the beginning of Auguest. And also I would like to go on summer.
The accommodation I would like to live in tents. Because I never live in tents before. I think it is great and I want to try it.
I like doing sports. I would like to play basketball and golf when I am at the Camp. I play basketball a lot and I am a member of our college term. But I am not very good at golf.
And also I want to ask some questions. What clothes should I taken? How much money should I taken? And how could we meet at the airport? I am looking forward your reply.
Yours sincerely.","['RP', 'DD', 'RJ', 'MD', 'TV', 'RT', 'MD', 'UT', 'S', 'RT', 'MT', 'MP', 'RV', 'RP', 'TV', 'RV', 'MD', 'AGN', 'TV', 'RN', 'TV', 'TV', 'TV', 'MT']",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,1,1,2,0,2,2,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0100_2000_6/doc2.xml,Chinese,0,16-20,24.0,2,2.3,"As our class is going to mark a short video about daily life at college, I write this report to suggest some lessons and activities which should be filmed.
1. English lesson. Because all students in English class are from all over the world. We can talk everybody's feeling living and study at a foreign country.
2. Computing lesson and computer room. Nowdays internet makes us closer and closer. We can get all what we want on internet. It's one of the most important things in our life now.
3. Liabrary. We not only borrow books from liabrary but also study at liabrary. Library is very important in our daily life.
4. Canteen. Everyday we go to canteen have lunch, no matter you bought food from there or you take your own food.
5. Football. What do you do after class? Joging or doing some sports? You can't forget football.
These are what I think should be filmed. If any of you have other suggestion, we can discuss again. But I think these five lesson or activities are most common in our daily life at college.","['RV', 'TV', 'UQ', 'MD', 'RP', 'MT', 'FN', 'MT', 'FV', 'RT', 'S', 'MD', 'RP', 'RV', 'UA', 'MD', 'RP', 'S', 'MD', 'S', 'MD', 'S', 'MD', 'RP', 'MD', 'FV', 'MC', 'TV', 'DN', 'UV', 'AGA', 'AGV', 'FN', 'MA', 'AGN', 'MD']",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,1,2,0,4,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0
0100_2000_6/doc4.xml,Chinese,0,21-25,17.0,1,2.2,"Dear Madam Helen Ryan,
I have received your letter yesterday. I thanks for your organisation has given me the opportunities to go abroad U.S.A.
The date that I would like to travel, that will be nice to go on 1st of July. Because my summer holidays break is start at end of June. And I need few days to prepare my stuff.
Regarding to the accommodation, I would prefer to stay in tents more than log carbins because I have a lot of experiences of built up my own tents. When I was in highschool I used to be a member of the.
The activities that you have listed forms. Some of the them I really interested in it, especially painting. Since I was young, my dad he alway me out to have live drawings, so now it became my hobbies. And I think, it is nice to draw the beautiful landscapes of the place. Beside drawings, swimming is my favourite as well. When I was in highschool, I have joined in the swimming club. And I also participated in a few swimming competition. Although I'm not the best, but I have a lot of confident in it.
At last some of things I need to clarify, that is, what type of clothes and money do I need to prepared.
Thanks again.","['RN', 'TV', 'RY', 'AGV', 'MA', 'W', 'FN', 'R', 'MT', 'RC', 'RA', 'MD', 'RP', 'UN', 'UV', 'MD', 'MD', 'UT', 'RY', 'S', 'FN', 'FV', 'RV', 'RP', 'RN', 'MT', 'UN', 'RP', 'UD', 'MV', 'UA', 'UA', 'TV', 'S', 'R', 'DN', 'FN', 'TV', 'M', 'UP', 'TV', 'UD', 'FN', 'RP', 'TV', 'UT', 'AGN', 'UC', 'DN', 'RT', 'RY', 'M', 'UT', 'R', 'M', 'UV', 'RV', 'FV']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,3,1,0,3,0,0,0,0,2,1,0,3,1,1,0,0,2,4,0,1,2,3,2,0,0,5,0,2,1,2,0,2,1,0,3,2,0,1,0,0
0100_2000_6/doc4.xml,Chinese,0,21-25,17.0,3,2.1,"I agree! Sometimes shopping is not always enjoyable. For most of the people might think, why would I say that, because shopping is a very good entertainment especially for female, as me.
For frank, I like to shopping.. I like to have window shopping the shopping area. It would help you up to the date. What fashion is hit now.
But, when during any peak season, like Christmas, holidays or even during weekends. Then I can say I'm definatly doesn't feel any enjoyable. Because of the crowd. For me I think, it is not shopping that is kind of suffering. Especially, queue up for twenty minutes for just paying the money or waiting for the salesgirl getting your the right size of clothes. So sometimes I don't think shopping is enjoyable, and if there is any big festival, I would rather stay at home and watch television.","['UT', 'U', 'RP', 'MP', 'L', 'FN', 'RT', 'UT', 'DY', 'FV', 'R', 'RV', 'R', 'RN', 'TV', 'MV', 'UD', 'UP', 'MT', 'R', 'UP', 'UC', 'UP', 'RP', 'UV', 'S', 'AGV', 'R', 'RP', 'FN', 'UP', 'R', 'RP', 'UP', 'FV', 'UT', 'FV', 'U', 'FV', 'UD', 'U', 'RN']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,5,0,0,0,0,2,4,0,1,1,0,1,0,0,1,3,0,1,2,0,0,5,0,3,1,0,0,0,0
0100_2000_6/doc24.xml,Spanish,5,16-20,32.0,1,3.3,"Dear Mrs. Ryan,
First of all, I would like to thank you for this prize and the fact that you wrote me asking for my preferences about the Camp.
About the information you needed, I have to tell you that I can only go in July, because of work reasons. Once there, I would prefer staying in tents, because that is a way to remember my childhood as a boyscout and go against the routine.
From the list of activities you sent me, I stay with the, from my point of view, most relaxing activities available: painting and photography. One of my hobbies is the photography, so I think I am rather good at it, but I will take painting only to learn, because I am not very talentive at it.
I also would like to know if I have to take money and what kind of clothes are suitable for that location. Please reply soon.
Yours sincerely
David Brian","['MT', 'RT', 'TV', 'RT', 'MD', 'AGN', 'RP', 'R', 'R', 'UD', 'UY', 'DJ', 'MQ', 'MA']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0100_2000_6/doc24.xml,Spanish,5,16-20,32.0,4,4.1,"Dear Kim,
You are not going to believe what I am about to tell you! A couple of months ago, I was told that Britney Spears was coming to perform in our city. When I knew this, I managed to get a job as one of the kids that prepares the stage during the concert. I was really excited.
The day of the show I worked so hard that I couldn't see the spectacle. And I didn't even got paid. But it was worthy. I found my reward when the concert finished. After been carrying stuff like lights, microphones, wires and some other equipment for about three hours, I was eshausted. But when Britney came out of the stage, she passed by me, saw my tired face and invited me to her personal changing room. We talked for about half an hour and when she said goodbye she gave me a kiss. I won't forget that moment ever. Write me soon to tell me your impression about what happened to me. Bye.
With love
David Brian","['AGV', 'R', 'RN', 'FV', 'RJ', 'RV', 'UV', 'S', 'RY', 'RT', 'RN', 'MT', 'RN']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0100_2000_6/doc27.xml,Chinese,0,31-40,22.0,1,3.1,"13th June
Dear Ms Ryan
I am so grateful and I can't believe I am so lucky to receiving your letter in which said that I have won the first prize in your competition, for two weeks camping in California in the U.S.A.
I am writing to inform that I can only go in July, the summer holiday, because I have got a place in the university and it will start in August. Is there the time I request available? I would also like to ask accommodation you offer are in tens or log cabins. If I can choose I would prefer tens. I like to sleep on open land and see the sun come up in the morning.
In addition, I choose painting and sailing for my activities. I can wait to do my painting for the rising sun, and can't imagine how wonderful sailing along the rivers.
Finally, can you tell me what kind of clothes I should bring with, and how much spending money will be need.
I look forward to hearing from you.
Yours sincerely
JUAN LILY LEE","['FV', 'MA', 'RT', 'MA', 'RT', 'UD', 'UA', 'M', 'AGV', 'RN', 'RN', 'MY', 'RT', 'MV', 'MA', 'TV']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0100_2000_6/doc27.xml,Chinese,0,31-40,22.0,3,2.3,"13th June
Shopping is not always enjoyable. I don't really like shopping. Sometime when I'm boring and can't find something else to do. I go look round shops. When I see some clothes in the window I like, I would go in and try them. But I always finds it not look nice on me. in the weekend. All the shops are full of people, and people treat the articals like rubbish. Hang them every where after they tried and that was not suit them.
Also in the weekend shopping. You do can't find some where to sit down comfortaly to have a cup of tea. Mc.Donnals, K.F.C, the all full of people.
However, shopping is nice to spend you leisure time and give yourself to relax sometimes, but suggest that never in the weekend.","['RY', 'RJ', 'RP', 'MD', 'UV', 'MY', 'AGV', 'AGA', 'MV', 'R', 'RT', 'RN', 'S', 'RP', 'FV', 'RP', 'TV', 'M', 'MV', 'MA', 'RV', 'AGV', 'RT', 'UD', 'RP', 'UV', 'RP', 'DY', 'R', 'M', 'DD', 'M', 'MA', 'M', 'RT']",0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,2,1,2,0,0,0,1,1,5,0,3,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0
0100_2000_6/doc34.xml,Chinese,0,16-20,28.0,1,4.1,"Dear Helen Ryan,
Thanks for your letter, I am so glad that I have won first prize in your competition. And thanks again for offer me two weeks at Camp California in the U.S.A.
As you asked, I think I'd like to travel only in July, because I am quite busy with my job. July is the only free time that I have. And I prefer tents to log cabins, as I know tents better than log cabins. I used to sleep in tent once on my holiday, and tent is more suitable for camping.
It is very kind for you to give me the chance to do two activities while I am at the Camp. I'd like to have climbing and sailing. Actually I am quite good at climbing. I often go climbing in my town. For sailing, well, I haven't try it before, that is why I want to have a try. I think it must be fun.
As you said, all accommodation and travel costs are paid for, but I am sure I still need some money with me. How much do you think that I will need. By the way what kinds of clothes do you think I have to get with me? And is there anything eles I have to get with me?
Yours sincerely","['RP', 'FV', 'MD', 'MD', 'RT', 'RV', 'ID', 'TV', 'RP', 'RV', 'UT', 'MV', 'RP', 'MP', 'RV', 'S', 'RV']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0100_2000_6/doc34.xml,Chinese,0,16-20,28.0,3,3.3,"Shopping is not always enjoyable
I think most people will agree with ""shopping is not always enjoyable"". Because so far as I know nothing is enjoyable all the time.
Some people might say women just love shopping, they couldn't stop thinking about doing shopping. Yes, it is true, this is only because nowadays people have more money than even before, and some women don't earn money, they have no idea how diffcult to earn the money. Women just love spending money in shops. Just imagine if one day their husbands lost their jobs, will those women still thinking shopping is enjoyable! So it is depend on different case.
For me, I don't think shopping is enjoyable at all. I even hate shopping. I only go to shop unless I really need something. Shopping is just like a nightmare to me, I think I will never understand why people love shopping. How can you face the same goods at the same shop all the time. I think most men have the same opinion as I do.
Some women spend their whole life doing shopping, and most of times, they don't buy many things. In my eyes they are wasting their lifes, they are hopeless.
Those are only my opinions, you don't need to agree with it, but one day you might found out that what I have said is not totally wrong.","['R', 'RP', 'RV', 'RP', 'RY', 'RP', 'S', 'M', 'UD', 'RP', 'TV', 'UV', 'AGV', 'R', 'ID', 'RY', 'FV', 'RP', 'RV', 'MT', 'UV', 'MD', 'FN', 'IN', 'RP', 'AGA', 'FV']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,6,0,0,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0
